stage,step,episode,ep_return,fuel_g,fuel_eq_g,shortfall_MJ,thermal_binding,SoC_final,alpha,lambda,loss_q,wall_s
lap1,726,1,-227.289,859.26,838.16,7.12868,0,0.8948,0.2,0.0,nan,0.0
lap1,1452,2,-223.521,864.56,840.25,6.95714,0,0.8946,0.2,0.0,nan,0.1
lap1,2178,3,-231.033,869.27,838.21,7.26066,0,0.8955,0.2,0.0,nan,0.1
lap1,2904,4,-237.643,853.2,817.16,7.55216,0,0.8971,0.2,0.0,nan,0.1
lap1,3630,5,-227.293,854.73,840.97,7.12696,0,0.8972,0.2,0.0,nan,0.2
lap1,4356,6,-228.508,866.73,850.63,7.14843,0,0.8924,0.2,0.0,nan,0.2
lap1,5082,7,-228.775,857.36,842.69,7.19196,0,0.8602,0.1947,0.0,0.0826,0.8
lap1,5808,8,-511.458,821.95,980.35,3.48221,0,0.2036,0.1563,0.0,0.0327,3.6
lap1,6534,9,-490.267,802.8,954.35,4.02643,0,0.2001,0.1296,0.0,0.3651,6.3
lap1,7260,10,-548.034,771.22,936.93,3.72783,0,0.2,0.1085,0.0,0.5171,9.1
lap1,7986,11,-525.537,825.06,993.0,2.25645,0,0.2,0.0903,0.0,1.4657,11.9
lap1,8712,12,-458.274,857.01,1003.4,3.53536,0,0.2001,0.0739,0.0,1.8598,14.6
lap1,9438,13,-472.21,821.06,970.65,3.61839,0,0.2,0.0617,0.0,2.6365,17.4
lap1,10164,14,-504.652,821.74,980.2,3.28223,0,0.2273,0.0525,0.0,2.5581,20.4
lap1,10890,15,-478.437,803.01,951.38,4.13759,0,0.2627,0.0449,0.0,296.0648,23.1
lap1,11616,16,-244.549,814.28,876.77,5.64445,0,0.579,0.0409,0.0,6.7544,25.9
lap1,12342,17,-226.933,814.22,870.53,5.39309,0,0.5902,0.0372,0.0,459.9281,28.6
lap1,13068,18,-257.304,811.89,877.91,5.89742,0,0.5807,0.0357,0.0,11.6044,31.6
lap1,13794,19,-250.977,828.87,895.52,5.56359,0,0.5337,0.0359,0.0,2.7586,34.3
lap1,14520,20,-236.608,851.62,913.37,5.32199,0,0.5547,0.0369,0.0,5.9341,37.2
lap1,15246,21,-255.812,853.62,926.94,5.14338,0,0.4962,0.0394,0.0,6.8608,40.3
lap1,15972,22,-330.899,836.74,942.4,4.6885,0,0.4219,0.042,0.0,3.9733,43.4
lap1,16698,23,-289.059,834.44,916.37,5.70743,0,0.4717,0.0474,0.0,18.1708,46.4
lap1,17424,24,-289.591,831.34,915.54,5.50017,0,0.4957,0.049,0.0,1.2263,49.5
lap1,18150,25,-276.273,839.34,915.73,5.70915,0,0.4893,0.0503,0.0,2.9907,52.6
lap1,18876,26,-264.471,830.36,901.2,5.74519,0,0.4937,0.0482,0.0,6.063,55.6
lap1,19602,27,-272.825,837.31,918.22,5.1351,0,0.4881,0.0457,0.0,2.9571,59.7
